LotArea,YearBuilt,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,TotRmsAbvGrd,predicted_price
8450,2003,856,854,2,3,8,208500.0
9600,1976,1262,0,2,3,6,181500.0
11250,2001,920,866,2,3,6,223500.0
9550,1915,961,756,1,3,7,140000.0
14260,2000,1145,1053,2,4,9,250000.0
14115,1993,796,566,1,1,5,143000.0
10084,2004,1694,0,2,3,7,307000.0
10382,1973,1107,983,2,3,7,200000.0
6120,1931,1022,752,2,2,8,129900.0
7420,1939,1077,0,1,2,5,118000.0
11200,1965,1040,0,1,3,5,129500.0
11924,2005,1182,1142,3,4,11,345000.0
12968,1962,912,0,1,2,4,144000.0
10652,2006,1494,0,2,3,7,279500.0
10920,1960,1253,0,1,2,5,157000.0
6120,1929,854,0,1,2,5,132000.0
11241,1970,1004,0,1,2,5,149000.0
10791,1967,1296,0,2,2,6,90000.0
13695,2004,1114,0,1,3,6,159000.0
7560,1958,1339,0,1,3,6,139000.0
14215,2005,1158,1218,3,4,9,325300.0
7449,1930,1108,0,1,3,6,139400.0
9742,2002,1795,0,2,3,7,230000.0
4224,1976,1060,0,1,3,6,129900.0
8246,1968,1060,0,1,3,6,154000.0
14230,2007,1600,0,2,3,7,256300.0
7200,1951,900,0,1,3,5,134800.0
11478,2007,1704,0,2,3,7,306000.0
16321,1957,1600,0,1,2,6,207500.0
6324,1927,520,0,1,1,4,68500.0
8500,1920,649,668,1,3,6,40000.0
8544,1966,1228,0,1,3,6,149350.0
11049,2007,1234,0,2,3,7,179900.0
10552,1959,1700,0,1,4,6,165500.0
7313,2005,1561,0,2,2,6,277500.0
13418,2004,1132,1320,3,4,9,309000.0
10859,1994,1097,0,1,3,6,145000.0
8532,1954,1297,0,1,3,5,153000.0
7922,1953,1057,0,1,3,5,109000.0
6040,1955,1152,0,2,2,6,82000.0
8658,1965,1324,0,2,3,6,160000.0
16905,1959,1328,0,1,2,5,170000.0
9180,1983,884,0,1,2,5,144000.0
9200,1975,938,0,1,3,5,130250.0
7945,1959,1150,0,1,3,6,141000.0
7658,2005,1752,0,2,2,6,319900.0
12822,2003,1518,631,1,1,6,239686.0
11096,2006,1656,0,2,3,7,249700.0
4456,1920,736,716,2,2,8,113000.0
7742,1966,955,0,1,3,6,127000.0
13869,1997,794,676,2,3,6,177000.0
6240,1934,816,0,1,3,6,114500.0
8472,1963,816,0,1,2,5,110000.0
50271,1981,1842,0,0,0,5,385000.0
7134,1955,1360,0,1,3,6,130000.0
10175,1964,1425,0,2,3,7,180500.0
2645,1999,983,756,2,3,7,172500.0
11645,2004,860,860,2,3,7,196500.0
13682,2006,1426,1519,3,3,10,438780.0
7200,1972,780,0,1,2,4,124900.0
13072,2004,1158,0,1,3,5,158000.0
7200,1920,581,530,1,3,6,101000.0
6442,2006,1370,0,2,2,6,202500.0
10300,1921,902,808,2,3,9,140000.0
9375,1997,1057,977,2,3,8,219500.0
9591,2004,1143,1330,2,4,9,317000.0
19900,1970,2207,0,2,3,7,180000.0
10665,2003,1479,0,2,3,7,226000.0
4608,1945,747,0,1,2,4,80000.0
15593,1953,1304,983,2,3,7,225000.0
13651,1973,2223,0,2,3,8,244000.0
7599,1982,845,0,1,2,4,129500.0
10141,1998,885,833,2,3,7,185000.0
10200,1954,1086,0,1,3,6,144900.0
5790,1915,840,765,2,3,8,107400.0
1596,1973,526,462,1,2,5,91000.0
8475,1956,952,0,1,2,4,135750.0
8635,1948,1072,213,1,2,6,127000.0
10778,1968,1768,0,2,4,8,136500.0
10440,1910,682,548,1,2,5,110000.0
13000,1968,1182,960,2,4,8,193500.0
4500,1998,1337,0,2,2,5,153500.0
10206,2007,1563,0,2,3,6,245000.0
8892,1960,1065,0,1,3,6,126500.0
8530,1995,804,670,2,3,7,168500.0
16059,1991,1301,1116,2,4,9,260000.0
11911,2005,684,876,2,3,6,174000.0
3951,2009,612,612,2,2,4,164500.0
8470,1915,1013,0,1,2,6,85000.0
8070,1994,990,0,1,3,5,123600.0
7200,1950,1040,0,1,2,4,109900.0
8500,1961,1235,0,1,2,6,98600.0
13360,1921,964,0,1,2,5,163500.0
7200,1910,1260,1031,2,4,9,133900.0
9337,1997,905,881,2,3,7,204750.0
9765,1993,680,790,2,3,6,185000.0
10264,1999,1588,0,2,3,6,214000.0
10921,1965,960,0,1,3,6,94750.0
10625,1920,835,0,1,2,5,83000.0
9320,1959,1225,0,1,3,6,128950.0
